ZipCode,GeoID_Label,Households_Estimate,MHI_Estimate
12421,ZCTA5 12421,159,53942
12422,ZCTA5 12422,130,81000
12423,ZCTA5 12423,421,43789
12424,ZCTA5 12424,106,68750
12427,ZCTA5 12427,136,92262
12428,ZCTA5 12428,2572,46037
12429,ZCTA5 12429,102,88750
12430,ZCTA5 12430,535,52483
12431,ZCTA5 12431,415,38605
12432,ZCTA5 12432,201,52969
12433,ZCTA5 12433,236,138134
12434,ZCTA5 12434,306,31905
12435,ZCTA5 12435,111,58958
12436,ZCTA5 12436,78,-
12438,ZCTA5 12438,18,-
12439,ZCTA5 12439,125,41705
12440,ZCTA5 12440,953,59250
12441,ZCTA5 12441,12,-
12442,ZCTA5 12442,411,35273
12443,ZCTA5 12443,1597,85781
12444,ZCTA5 12444,250,53750
12446,ZCTA5 12446,1989,57328
12448,ZCTA5 12448,235,109531
12449,ZCTA5 12449,1184,44500
12450,ZCTA5 12450,71,-
12451,ZCTA5 12451,477,64963
12452,ZCTA5 12452,116,29583
12453,ZCTA5 12453,115,35755
12454,ZCTA5 12454,107,70313
12455,ZCTA5 12455,914,41736
12456,ZCTA5 12456,213,46198
12457,ZCTA5 12457,394,34583
12458,ZCTA5 12458,927,52798
12459,ZCTA5 12459,113,39213
12460,ZCTA5 12460,113,25809
12461,ZCTA5 12461,771,64120
12463,ZCTA5 12463,571,72125
12464,ZCTA5 12464,485,40256
12465,ZCTA5 12465,113,57404
12466,ZCTA5 12466,997,68893
12468,ZCTA5 12468,455,48750
12469,ZCTA5 12469,270,49500
12470,ZCTA5 12470,147,47375
12471,ZCTA5 12471,86,-
12472,ZCTA5 12472,682,54318
12473,ZCTA5 12473,418,75125
12474,ZCTA5 12474,524,45486
